airline,origin,dest,month,day_of_week,hour,distance,delayed
AI,BOM,HYD,6,3,19,390,1
AI,AMD,CCU,8,3,7,632,1
SG,DEL,HYD,11,6,6,780,1
NK,SFO,LAS,2,0,21,414,1
SG,BOM,GOI,5,3,16,265,1
DL,SFO,LAX,4,3,18,337,0
F9,PHX,SEA,11,4,21,1107,0
UK,BOM,COK,6,5,10,670,0
AA,JFK,LAS,10,2,18,1034,1
UK,CCU,AMD,5,2,22,567,1
AS,MIA,LAX,8,6,17,1071,1
AS,BOS,ORD,5,4,9,867,1
DL,MIA,DEN,12,1,20,1133,0
6E,PNQ,BLR,5,0,5,460,1
F9,ATL,LAS,10,6,9,1076,1
6E,GOI,AMD,9,2,9,1327,1
QP,MAA,DEL,10,2,9,1090,1
AS,BOS,JFK,11,2,5,187,0
QP,COK,PNQ,12,4,9,417,1
QP,BOM,BLR,11,2,16,520,0
AS,ATL,MIA,10,0,21,595,1
WN,SFO,MIA,8,1,7,483,1
IX,CCU,AMD,12,4,12,465,0
WN,SEA,ORD,8,2,20,1320,1
SG,MAA,BOM,2,2,6,640,1
NK,BOS,ATL,6,5,19,1035,0
QP,CCU,BLR,9,2,8,970,0
QP,DEL,COK,1,4,13,1280,0
IX,PNQ,HYD,12,1,9,775,0
UK,COK,MAA,6,6,21,340,1
AS,JFK,MIA,8,4,20,1090,0
F9,ORD,SEA,8,6,14,314,1
SG,DEL,CCU,8,6,10,810,1
SG,AMD,DEL,7,4,16,470,1
IX,BOM,CCU,3,1,6,1030,1
IX,GOI,BOM,4,2,15,265,0
F9,BOS,MIA,12,6,15,1258,0
IX,MAA,AMD,7,0,10,258,1
QP,COK,DEL,10,5,14,1280,0
SG,GOI,HYD,2,4,10,789,0
B6,BOS,ATL,9,0,14,187,1
SG,COK,GOI,12,4,10,1327,1
6E,BLR,BOM,8,6,6,520,1
IX,HYD,PNQ,4,3,12,970,0
6E,BOM,PNQ,4,4,7,90,0
WN,BOS,SFO,11,1,7,248,1
SG,CCU,COK,9,6,17,1283,1
NK,PHX,LAS,11,5,9,256,1
AS,BOS,PHX,5,2,16,577,1
UA,DEN,ATL,8,4,14,658,1
NK,JFK,ATL,4,5,21,760,1
F9,SFO,BOS,9,4,13,947,1
DL,SEA,BOS,2,3,16,1328,1
QP,HYD,GOI,8,0,17,723,1
SG,COK,BOM,4,2,20,670,0
UA,MIA,SFO,10,3,20,914,1
IX,COK,GOI,4,2,19,464,0
SG,AMD,BOM,2,0,16,275,1
WN,ORD,PHX,3,0,13,956,1
6E,COK,CCU,2,6,15,740,1
AS,PHX,SFO,10,3,21,734,0
AS,BOS,DFW,8,0,18,352,0
IX,AMD,PNQ,3,6,19,522,1
AS,JFK,PHX,7,4,22,290,1
SG,CCU,BOM,1,5,10,1030,1
AS,LAS,SEA,11,4,10,1296,1
AS,ATL,SEA,12,5,21,192,1
NK,DFW,LAS,11,4,5,354,1
WN,ORD,BOS,1,3,11,867,1
QP,COK,AMD,9,1,9,258,1
QP,AMD,CCU,8,1,14,1213,0
NK,BOS,LAS,5,2,13,682,0
IX,BOM,BLR,5,4,20,520,0
AA,DEN,LAS,7,0,6,678,1
DL,LAX,SFO,9,1,21,337,1
QP,PNQ,BOM,4,4,9,90,0
AI,BLR,AMD,12,0,9,1107,1
NK,ATL,PHX,11,4,17,871,1
AI,HYD,MAA,1,6,5,320,1
WN,ORD,BOS,11,6,20,867,1
NK,LAS,JFK,3,5,22,902,1
AS,DFW,DEN,9,4,10,641,0
QP,CCU,AMD,1,5,21,751,0
6E,DEL,BOM,6,3,18,710,0
DL,BOS,DEN,6,4,15,625,0
UK,PNQ,GOI,2,0,11,230,0
UK,PNQ,CCU,11,0,9,685,1
F9,DFW,DEN,7,0,5,641,1
IX,HYD,BLR,8,0,6,310,1
6E,BLR,GOI,2,5,15,310,0
NK,DEN,JFK,8,4,18,918,1
SG,PNQ,MAA,4,4,8,535,1
QP,CCU,BOM,9,0,14,1030,1
B6,LAS,SFO,11,6,15,414,1
UA,SEA,PHX,3,0,17,1107,1
NK,ORD,SFO,2,5,19,659,1
AS,JFK,PHX,6,6,22,719,1
UA,LAX,BOS,11,1,6,240,1
AA,SFO,BOS,5,1,6,1264,1
UA,LAS,SEA,2,0,12,1264,1
SG,PNQ,BOM,5,4,5,90,1
DL,DFW,LAX,8,3,20,1235,0
UK,BLR,DEL,2,0,17,1080,1
B6,SEA,JFK,6,2,8,399,0
SG,CCU,GOI,1,3,20,222,0
AI,CCU,BOM,2,4,19,1030,0
6E,DEL,BLR,6,2,19,1080,1
B6,ORD,SEA,1,2,22,1058,1
QP,BLR,MAA,9,1,5,180,1
6E,COK,MAA,7,0,18,340,1
QP,AMD,MAA,3,5,13,1039,0
NK,ATL,JFK,11,2,18,760,0
B6,ATL,DEN,9,2,21,1087,0
AS,PHX,SEA,5,6,13,1107,0
AA,SFO,ORD,7,2,8,1112,0
F9,LAS,ORD,9,5,9,584,1
SG,CCU,AMD,11,1,21,540,0
6E,AMD,HYD,3,2,13,1168,0
IX,AMD,GOI,4,6,12,189,1
AA,BOS,LAS,4,4,20,1169,1
QP,MAA,BLR,4,4,11,180,1
IX,GOI,BLR,11,1,5,310,0
SG,HYD,COK,10,2,10,1177,1
AA,SFO,DFW,6,0,17,573,1
WN,BOS,DFW,12,3,14,855,0
AA,MIA,LAX,12,6,21,292,1
AS,BOS,JFK,8,3,8,187,0
AS,JFK,ATL,6,4,5,760,0
IX,CCU,BOM,6,4,6,1030,1
B6,SEA,ORD,5,3,14,1370,0
6E,HYD,GOI,2,2,18,298,0
6E,BOM,PNQ,3,4,19,90,1
F9,SEA,PHX,8,5,5,1107,1
6E,MAA,AMD,1,4,12,291,1
SG,AMD,MAA,11,5,8,1138,0
UA,JFK,ATL,7,0,6,760,0
6E,COK,HYD,2,3,8,331,0
SG,CCU,MAA,9,1,19,850,1
DL,ATL,SEA,10,5,14,919,0
SG,BLR,PNQ,10,2,12,460,0
AS,DFW,ATL,6,2,8,283,0
UA,DEN,JFK,7,0,9,1376,1
SG,CCU,AMD,1,2,21,592,0
QP,GOI,BOM,2,5,8,265,1
UK,BOM,BLR,8,3,6,520,1
QP,AMD,PNQ,6,5,20,219,0
SG,DEL,BOM,3,1,10,710,0
WN,SEA,PHX,12,3,13,1107,1
AS,LAS,DFW,3,0,10,559,1
SG,CCU,GOI,11,6,7,267,1
UA,LAS,ORD,11,4,16,1125,1
UA,SEA,LAX,7,2,17,954,0
QP,PNQ,AMD,9,2,9,680,1
WN,JFK,ATL,7,4,8,760,1
F9,JFK,LAS,4,2,17,541,0
UK,PNQ,MAA,9,6,9,475,1
6E,GOI,PNQ,3,4,11,230,1
AS,LAS,BOS,2,2,22,746,0
F9,DEN,BOS,7,5,7,446,1
NK,BOS,DFW,2,1,6,766,1
QP,BOM,AMD,4,1,21,275,1
UK,MAA,BOM,6,2,11,640,1
AI,HYD,GOI,10,0,6,378,1
AS,DFW,DEN,10,4,20,641,0
NK,ORD,MIA,4,5,11,415,1
DL,ORD,LAS,6,2,22,1054,1
AA,JFK,ATL,9,1,14,760,1
AI,COK,BOM,2,4,8,670,0
6E,BLR,PNQ,7,2,6,460,1
IX,BLR,CCU,11,3,11,970,0
QP,MAA,COK,4,0,19,340,1
WN,SEA,DEN,4,2,6,1024,0
IX,GOI,BLR,4,4,22,310,0
UA,ATL,LAX,7,0,9,1946,1
B6,DFW,ATL,7,4,6,411,0
AS,ORD,LAS,7,6,6,680,1
QP,DEL,BLR,9,4,22,1080,1
IX,AMD,MAA,1,3,10,1381,1
AS,MIA,JFK,9,0,20,1090,0
AS,MIA,LAS,11,2,14,522,0
QP,PNQ,GOI,11,5,10,230,0
6E,BLR,HYD,11,5,9,310,1
AA,SEA,BOS,9,4,5,429,1
DL,SEA,ORD,4,1,5,1217,0
6E,GOI,DEL,4,1,19,940,1
IX,HYD,BOM,2,4,17,390,1
B6,MIA,DFW,2,2,10,332,0
AA,MIA,LAX,6,1,9,325,1
DL,ORD,DEN,12,4,13,888,1
6E,MAA,CCU,5,0,20,850,1
AI,AMD,BLR,12,4,22,1311,0
AI,MAA,HYD,2,3,13,320,0
IX,COK,GOI,9,3,9,664,1
F9,JFK,MIA,12,2,9,1090,1
DL,DEN,BOS,9,1,18,1335,0
SG,GOI,HYD,6,4,8,851,1
6E,BLR,AMD,8,6,9,204,1
SG,CCU,BLR,8,4,15,970,1
F9,ORD,DEN,10,2,6,888,1
6E,BOM,DEL,12,0,5,710,1
AI,PNQ,DEL,5,1,21,730,0
6E,COK,GOI,2,2,22,990,0
UK,PNQ,HYD,11,4,10,1346,1
NK,ORD,LAS,6,6,15,1010,1
IX,DEL,AMD,11,6,20,470,1
UK,CCU,BLR,7,2,9,970,0
SG,PNQ,CCU,2,0,10,942,0
AI,AMD,HYD,6,2,8,1342,0
IX,GOI,COK,6,0,15,799,1
NK,SFO,PHX,6,3,16,434,1
NK,DFW,LAX,12,2,21,1235,0
AS,LAX,SEA,8,5,16,954,0
B6,DEN,BOS,3,0,17,1353,1
AA,SFO,JFK,7,3,18,1176,1
AS,LAX,DEN,9,1,19,862,1
F9,SFO,JFK,4,4,22,423,1
AI,DEL,GOI,3,3,17,940,1
AA,LAS,SFO,7,2,14,414,0
DL,SEA,ATL,7,2,13,1002,1
SG,HYD,CCU,9,3,16,740,1
QP,COK,PNQ,8,3,20,680,1
F9,DFW,DEN,7,1,16,641,1
UK,PNQ,GOI,10,5,22,230,1
IX,BLR,HYD,3,2,10,310,0
6E,CCU,COK,6,5,16,1097,1
AS,LAS,SFO,2,2,20,414,0
DL,ATL,SEA,1,3,7,633,1
UK,MAA,HYD,6,5,7,320,1
DL,DEN,SEA,3,5,16,1024,0
NK,LAS,DEN,5,4,14,432,0
B6,MIA,DFW,2,4,11,1280,1
UK,AMD,BLR,7,6,10,454,1
NK,ATL,PHX,4,3,9,361,1
WN,ATL,JFK,11,5,11,760,1
SG,GOI,DEL,2,4,10,940,0
IX,BLR,COK,9,0,20,230,1
DL,SEA,PHX,10,6,22,1107,1
AA,ORD,LAX,4,6,19,1744,0
UA,ORD,PHX,8,0,22,864,1
UA,ATL,LAX,6,4,17,1946,1
AI,DEL,BOM,1,3,16,710,0
QP,BOM,GOI,10,2,22,265,1
SG,CCU,BOM,2,6,9,1030,1
UK,MAA,PNQ,11,6,19,1120,0
UK,DEL,MAA,7,6,14,1090,0
B6,SEA,ATL,5,3,6,1018,1
UK,DEL,BOM,2,3,7,710,1
SG,CCU,BLR,1,1,17,970,1
6E,PNQ,GOI,6,3,14,230,1
UK,MAA,GOI,6,0,17,950,1
F9,ORD,MIA,6,1,20,385,0
AA,DFW,LAX,1,1,15,1235,1
AI,AMD,MAA,5,6,11,565,1
AA,SEA,LAX,9,6,7,954,1
DL,ATL,JFK,9,0,5,760,0
AS,DEN,SFO,7,6,21,1070,0
AA,JFK,ATL,5,1,22,760,0
SG,AMD,COK,2,3,18,703,1
UK,COK,AMD,10,3,10,719,0
SG,MAA,PNQ,6,6,20,624,1
AS,ATL,LAX,12,6,15,1946,1
DL,ORD,LAS,10,6,7,1019,1
AA,DEN,LAX,8,6,5,862,1
6E,COK,DEL,12,4,11,1280,1
B6,LAX,SEA,4,6,21,954,1
NK,LAS,LAX,5,1,20,301,0
WN,LAS,ORD,6,3,5,994,0
UK,MAA,COK,2,4,16,340,0
UA,BOS,LAS,12,4,22,1127,1
IX,BLR,HYD,7,4,10,310,0
SG,PNQ,COK,2,6,11,1192,1
AS,BOS,ORD,10,0,8,867,1
6E,DEL,MAA,8,2,18,1090,0
NK,JFK,ATL,7,0,7,760,1
IX,GOI,PNQ,11,1,15,230,0
SG,GOI,BLR,3,6,7,310,0
UK,AMD,PNQ,4,4,16,926,0
F9,JFK,SEA,6,1,8,944,1
IX,BLR,GOI,8,0,6,310,1
F9,DFW,ORD,5,6,16,163,1
6E,BLR,COK,1,5,10,230,1
DL,ATL,SFO,9,3,16,431,1
UA,SEA,ORD,3,1,12,305,0
AS,SFO,SEA,8,2,10,679,0
QP,DEL,BLR,8,3,10,1080,0
F9,JFK,LAS,2,4,11,735,0
QP,CCU,GOI,12,1,9,1035,1
IX,BOM,COK,3,4,21,670,1
AI,COK,PNQ,2,2,15,937,0
WN,LAX,PHX,9,3,13,1022,0
SG,GOI,DEL,2,6,22,940,0
IX,MAA,GOI,9,2,12,699,0
AI,PNQ,MAA,9,0,20,1012,1
AS,ORD,LAS,4,6,9,955,0
UA,MIA,DFW,10,4,6,771,0
F9,BOS,ORD,2,1,14,867,1
IX,CCU,PNQ,1,0,22,780,1
UK,BOM,AMD,8,6,13,275,1
B6,MIA,DEN,4,3,16,1376,0
IX,GOI,HYD,6,5,14,1108,1
NK,DFW,MIA,6,2,17,584,0
6E,HYD,AMD,6,0,15,200,1
6E,BLR,BOM,12,3,6,520,1
AI,CCU,DEL,3,0,17,810,1
UA,MIA,LAS,5,2,17,157,0
SG,BLR,COK,1,1,21,230,0
AI,DEL,HYD,1,3,12,780,0
B6,ATL,JFK,1,2,13,760,1
SG,BOM,PNQ,11,5,21,90,0
F9,MIA,LAX,4,0,19,665,1
NK,PHX,DFW,7,2,17,1340,1
6E,CCU,AMD,11,6,7,525,1
UK,DEL,PNQ,10,2,17,730,1
DL,ATL,PHX,3,1,8,537,0
IX,GOI,BOM,12,5,17,265,1
AI,PNQ,BOM,8,0,17,90,1
6E,CCU,MAA,6,0,19,850,1
UA,BOS,LAS,8,1,5,457,0
SG,MAA,DEL,5,4,18,1090,1
NK,PHX,BOS,1,4,12,473,0
AA,MIA,ORD,9,0,10,303,0
F9,JFK,LAS,1,6,5,603,1
DL,LAS,MIA,3,1,9,903,0
AA,SFO,JFK,7,2,15,319,1
6E,MAA,BLR,7,4,10,180,0
UA,JFK,SFO,5,2,18,944,1
F9,SFO,JFK,6,0,14,1033,1
NK,LAX,SEA,7,3,19,954,1
DL,DFW,BOS,6,6,12,351,0
IX,HYD,COK,2,6,20,959,1
DL,ORD,SFO,11,3,13,328,0
AA,SEA,PHX,11,0,5,1107,1
UK,COK,MAA,7,2,5,340,1
NK,JFK,SEA,1,0,8,809,1
AI,GOI,MAA,10,2,6,962,0
IX,CCU,COK,4,2,16,1292,0
DL,LAS,SEA,12,0,6,709,1
SG,BOM,COK,12,4,17,670,1
WN,LAX,MIA,10,3,18,1058,0
6E,HYD,MAA,5,3,14,320,1
UK,GOI,PNQ,6,5,12,230,1
DL,LAS,DFW,9,1,12,1028,0
SG,AMD,GOI,2,3,15,735,0
NK,SEA,LAX,8,6,17,954,1
F9,SEA,MIA,8,0,12,258,0
UA,DFW,LAS,8,1,7,211,1
WN,ORD,DFW,2,0,9,1150,0
B6,BOS,MIA,4,5,7,1258,0
UA,ORD,DFW,8,4,7,549,1
UA,DFW,ATL,5,5,15,1398,1
IX,PNQ,MAA,1,6,16,1039,1
DL,DEN,LAS,12,6,14,400,1
UA,LAS,JFK,8,0,22,673,1
AI,HYD,BLR,4,4,19,310,1
F9,ORD,BOS,2,2,10,867,1
6E,BLR,GOI,11,6,6,310,1
AI,DEL,BLR,5,0,16,1080,1
AA,ATL,BOS,11,6,5,240,1
6E,CCU,GOI,4,3,16,1270,1
DL,ORD,SFO,1,2,15,530,1
DL,DFW,JFK,2,5,21,1391,0
AS,SEA,SFO,6,2,17,679,1
UK,GOI,AMD,11,4,16,751,0
QP,HYD,BLR,3,0,6,310,0
AI,HYD,GOI,11,2,8,329,1
AS,PHX,JFK,5,5,10,1080,1
F9,DFW,SEA,8,6,13,243,1
AI,AMD,BLR,9,3,8,1335,1
WN,DFW,BOS,11,1,20,1102,1
UA,ORD,BOS,1,4,10,867,0
NK,MIA,PHX,12,1,19,622,0
6E,GOI,COK,11,5,11,1184,0
UA,LAX,MIA,2,5,10,857,1
UA,PHX,LAX,7,6,14,778,1
QP,DEL,CCU,10,4,12,810,1
AA,BOS,JFK,12,3,9,187,0
IX,BOM,BLR,7,3,21,520,1
QP,AMD,CCU,2,6,10,897,1
DL,ORD,SFO,8,3,15,461,1
B6,PHX,SFO,2,1,19,1347,1
AA,PHX,DFW,2,5,6,225,1
AI,COK,GOI,11,1,10,210,0
DL,LAX,MIA,2,5,22,775,1
WN,LAS,LAX,6,3,10,1353,1
UK,BLR,CCU,8,1,18,970,0
WN,MIA,ATL,2,3,19,595,1
UA,ATL,LAX,1,6,14,1946,0
AA,ORD,ATL,11,6,15,606,1
AA,MIA,SFO,2,0,21,701,1
6E,MAA,BOM,1,2,19,640,0
AI,AMD,MAA,10,0,10,1056,0
NK,JFK,BOS,9,4,11,187,1
UA,LAX,LAS,4,6,8,636,1
IX,PNQ,BLR,2,4,7,460,1
6E,CCU,GOI,4,0,8,1219,1
UK,BOM,PNQ,12,2,9,90,0
NK,SEA,DEN,10,0,17,1024,1
WN,LAX,SEA,7,4,16,954,1
6E,BLR,DEL,1,0,7,1080,1
QP,DEL,CCU,2,6,15,810,1
QP,PNQ,MAA,5,1,13,288,0
QP,CCU,AMD,4,5,20,1394,1
F9,DEN,BOS,6,6,6,1004,1
QP,PNQ,AMD,6,0,6,1083,1
F9,MIA,ORD,2,3,18,801,1
AS,LAS,DFW,11,5,7,468,0
UA,ORD,BOS,5,0,20,867,1
AI,COK,CCU,8,4,5,662,0
AA,DFW,JFK,10,5,17,1391,0
DL,ATL,ORD,11,5,12,606,1
QP,AMD,DEL,10,2,13,470,1
AA,PHX,LAX,6,2,11,1339,0
WN,LAX,ORD,6,6,13,1744,1
SG,BOM,GOI,12,1,7,265,1
SG,BOM,PNQ,5,1,7,90,0
SG,COK,GOI,6,6,16,1169,1
UA,ORD,SEA,5,2,16,1329,0
F9,BOS,PHX,10,5,16,957,0
AS,ATL,LAS,12,0,9,1336,1
B6,DFW,SFO,4,2,18,994,1
SG,BLR,BOM,12,3,21,520,0
NK,ORD,DEN,1,5,21,888,0
QP,COK,PNQ,7,1,17,1397,0
B6,LAX,ORD,1,6,9,1744,1
AS,ATL,MIA,8,0,20,595,1
SG,MAA,COK,6,2,5,340,0
AI,HYD,PNQ,7,0,12,1090,0
B6,LAS,SFO,6,1,12,414,0
QP,COK,HYD,11,5,20,316,0
B6,ATL,SFO,3,2,15,1312,0
AA,SFO,LAX,9,4,5,337,1
F9,JFK,SEA,4,5,22,1317,0
QP,HYD,CCU,9,3,5,740,0
WN,DEN,LAS,7,0,12,1180,0
IX,BOM,MAA,8,2,12,640,1
IX,BLR,PNQ,8,6,19,460,1
UK,AMD,DEL,5,2,5,470,0
QP,DEL,PNQ,10,5,12,730,1
B6,ATL,BOS,3,5,16,1259,1
6E,COK,AMD,4,2,9,866,1
AS,PHX,MIA,3,3,12,1351,0
IX,BLR,PNQ,12,2,5,460,1
SG,COK,PNQ,4,3,14,1262,0
UA,ORD,PHX,10,5,7,1296,1
6E,DEL,MAA,10,2,19,1090,0
F9,ORD,LAX,7,0,6,1744,1
SG,BOM,BLR,6,6,21,520,1
DL,SFO,JFK,6,3,6,1110,0
AI,GOI,BLR,7,0,10,310,1
AA,BOS,DEN,9,3,18,1373,0
IX,BOM,GOI,2,5,21,265,1
AI,MAA,DEL,7,4,21,1090,1
NK,ORD,SEA,11,0,15,825,0
DL,JFK,PHX,11,2,11,200,1
DL,LAX,BOS,12,3,20,674,1
SG,MAA,PNQ,10,0,8,737,1
IX,MAA,GOI,8,0,18,607,1
UK,BOM,CCU,10,2,22,1030,0
AI,PNQ,GOI,12,0,11,230,0
AS,LAS,BOS,3,1,7,980,0
AI,BLR,BOM,6,4,15,520,1
QP,BLR,PNQ,1,4,19,460,1
UA,BOS,LAS,3,3,15,262,1
SG,DEL,COK,7,2,8,1280,1
AI,MAA,CCU,4,0,20,850,0
DL,ATL,BOS,1,5,18,1306,1
UK,BLR,PNQ,1,2,5,460,0
QP,DEL,COK,1,1,7,1280,0
B6,JFK,ATL,7,1,14,760,1
DL,ATL,PHX,9,1,18,1068,1
AS,SEA,ORD,4,4,12,1393,1
AA,LAS,LAX,1,3,22,498,0
SG,BLR,MAA,7,5,12,180,1
IX,PNQ,COK,2,0,19,1209,0
SG,BLR,HYD,4,4,5,310,1
NK,SFO,DFW,5,1,14,660,0
IX,AMD,COK,1,1,5,1148,1
SG,GOI,HYD,7,2,21,760,1
B6,DFW,SEA,6,6,7,1048,1
AA,BOS,MIA,4,3,14,1258,0
IX,PNQ,BLR,11,5,22,460,1
AS,SFO,BOS,11,3,13,880,0
AS,ATL,SFO,11,1,14,1180,0
QP,GOI,PNQ,9,2,14,230,0
UA,DEN,DFW,12,5,10,641,0
SG,DEL,BOM,3,1,20,710,1
IX,COK,DEL,8,0,8,1280,1
IX,COK,AMD,2,3,7,229,0
DL,ATL,BOS,4,1,17,301,0
SG,HYD,CCU,6,6,5,740,1
B6,LAS,JFK,8,4,19,161,1
SG,PNQ,AMD,9,4,7,1106,1
6E,PNQ,MAA,9,3,11,429,1
6E,PNQ,MAA,9,6,20,1301,1
AI,DEL,GOI,1,4,14,940,1
QP,MAA,GOI,4,0,11,955,1
IX,PNQ,BLR,4,6,15,460,1
SG,COK,DEL,11,1,6,1280,0
6E,BOM,PNQ,4,6,12,90,0
AA,LAX,BOS,10,3,14,1358,1
F9,DEN,SEA,10,6,6,1024,1
UA,LAX,DEN,6,1,6,862,1
QP,CCU,DEL,12,2,19,810,1
UA,BOS,SEA,10,3,15,237,0
B6,ATL,DEN,3,1,8,907,1
F9,LAS,BOS,9,0,8,324,1
AS,SFO,DFW,1,6,18,403,1
AI,COK,MAA,11,2,9,340,0
QP,BOM,BLR,7,2,18,520,1
6E,BLR,DEL,5,5,8,1080,1
AI,GOI,PNQ,2,3,16,230,0
IX,CCU,HYD,2,0,12,740,0
IX,DEL,COK,3,6,15,1280,0
AI,MAA,COK,9,1,14,340,1
IX,COK,BOM,6,2,12,670,1
AI,GOI,BLR,1,3,16,310,0
WN,DEN,PHX,12,3,20,959,1
IX,PNQ,BOM,11,0,14,90,0
AA,LAS,DFW,10,6,22,174,0
AS,MIA,ORD,10,3,8,1204,1
6E,BLR,BOM,6,2,14,520,0
6E,GOI,BLR,12,2,16,310,0
UK,BLR,CCU,11,1,8,970,1
SG,PNQ,BOM,6,3,7,90,1
SG,MAA,HYD,3,0,21,320,0
B6,SFO,MIA,8,6,20,781,1
IX,GOI,BOM,10,0,5,265,0
IX,AMD,CCU,4,3,8,702,0
QP,HYD,PNQ,10,6,6,1142,0
IX,BLR,GOI,11,6,10,310,1
QP,AMD,BOM,9,0,15,275,0
WN,DEN,SEA,10,0,8,1024,0
SG,MAA,GOI,10,3,6,416,0
IX,BLR,GOI,4,0,16,310,1
SG,GOI,COK,12,5,6,1344,1
SG,DEL,CCU,1,0,8,810,1
NK,SFO,ORD,8,6,10,1081,0
AA,JFK,ORD,1,2,15,740,1
QP,GOI,BOM,8,2,22,265,0
6E,MAA,HYD,2,2,20,320,1
SG,CCU,GOI,10,5,16,662,1
6E,BLR,CCU,9,2,6,970,0
AI,BLR,CCU,12,5,18,970,1
B6,ORD,LAS,5,1,22,1345,1
F9,SFO,JFK,8,2,8,1126,1
WN,DEN,ORD,8,4,18,888,1
WN,ATL,SEA,7,3,15,849,1
UK,BOM,PNQ,12,2,5,90,0
IX,CCU,PNQ,5,5,22,1056,0
UK,COK,MAA,4,6,10,340,1
QP,AMD,MAA,12,0,6,1300,1
B6,SEA,DFW,3,1,19,1068,0
AI,HYD,CCU,5,0,15,740,1
B6,DEN,ATL,11,5,20,728,1
B6,LAX,MIA,9,2,20,1328,0
6E,HYD,AMD,1,5,8,382,1
AI,PNQ,BLR,9,1,15,460,0
B6,ATL,DFW,4,4,11,421,1
SG,BOM,AMD,7,1,7,275,1
IX,GOI,HYD,6,0,17,224,0
AS,ATL,DFW,9,0,17,1162,0
AA,JFK,SFO,10,1,6,774,1
F9,ORD,JFK,7,4,18,740,1
NK,BOS,PHX,1,3,16,459,1
WN,LAX,BOS,5,3,8,977,0
IX,CCU,MAA,2,3,17,850,1
SG,CCU,AMD,3,2,20,213,0
QP,MAA,COK,8,1,10,340,1
6E,CCU,MAA,11,3,7,850,0
UK,DEL,COK,5,1,11,1280,1
B6,ATL,LAS,3,5,21,222,1
6E,HYD,GOI,9,0,22,253,1
AS,LAS,ATL,10,5,15,1229,1
NK,LAS,DFW,8,4,8,740,0
DL,MIA,SEA,12,1,14,195,1
IX,HYD,CCU,4,0,12,740,0
QP,CCU,PNQ,4,5,7,402,0
WN,ATL,LAX,3,0,18,1946,1
UK,AMD,PNQ,3,5,9,372,1
UA,SEA,DEN,8,3,13,1024,1
QP,CCU,PNQ,6,5,8,882,1
DL,LAX,PHX,11,2,8,1266,0
UK,CCU,BLR,6,5,18,970,1
6E,BOM,COK,7,5,13,670,0
AI,AMD,GOI,8,3,5,1118,0
SG,DEL,COK,12,2,14,1280,1
B6,MIA,LAX,12,6,13,431,1
F9,LAX,MIA,6,0,15,1223,1
DL,DFW,ATL,9,4,10,285,0
6E,BLR,COK,12,0,13,230,1
AI,MAA,AMD,5,6,13,1388,1
F9,JFK,DFW,4,1,6,1391,1
AS,JFK,MIA,8,3,21,1090,0
UA,DEN,LAX,12,2,13,862,1
IX,AMD,HYD,5,3,20,1379,1
DL,SFO,ATL,12,4,12,883,1
AI,CCU,COK,4,4,14,1242,1
F9,MIA,DFW,10,0,9,444,1
SG,MAA,HYD,3,2,21,320,1
AS,MIA,JFK,6,2,17,1090,0
6E,GOI,AMD,1,3,10,884,0
DL,LAS,DFW,5,6,5,306,0
NK,SFO,JFK,9,2,8,757,1
F9,ORD,DFW,10,5,20,783,1
IX,CCU,GOI,7,0,16,464,1
6E,CCU,PNQ,3,3,12,729,0
NK,LAS,DFW,6,0,14,429,1
UK,BLR,CCU,2,0,16,970,0
SG,COK,MAA,7,5,8,340,1
AA,LAX,SFO,9,4,11,337,0
UK,DEL,COK,10,3,5,1280,1
SG,AMD,PNQ,4,1,18,444,1
AS,DFW,PHX,10,1,5,227,0
B6,DEN,SFO,3,0,17,778,0
NK,SEA,LAX,8,1,6,954,1
SG,MAA,GOI,7,3,15,691,1
UA,MIA,ATL,3,3,13,595,0
NK,ATL,LAX,2,3,12,1946,0
QP,BOM,MAA,12,6,7,640,1
AI,AMD,MAA,6,2,22,833,0
6E,DEL,PNQ,8,2,18,730,0
DL,LAS,MIA,1,6,6,735,1
DL,LAX,ORD,1,2,6,1744,0
DL,JFK,SEA,12,6,12,432,0
WN,BOS,MIA,5,2,12,1258,1
WN,BOS,DFW,5,0,11,958,1
F9,DFW,JFK,2,0,15,1391,1
DL,LAX,ORD,7,0,9,1744,0
NK,LAS,MIA,3,3,16,1388,1
F9,PHX,MIA,5,4,8,783,0
UK,COK,GOI,12,5,20,1294,1
UK,DEL,BLR,2,4,18,1080,0
UA,PHX,SFO,8,4,22,610,1
NK,LAX,SFO,12,2,18,337,1
6E,GOI,DEL,9,4,17,940,1
IX,PNQ,CCU,4,6,7,439,1
AA,PHX,DEN,4,3,7,595,0
QP,PNQ,GOI,10,3,21,230,0
SG,BOM,BLR,3,6,5,520,1
UK,CCU,GOI,12,2,12,662,0
AS,BOS,SFO,3,6,17,534,0
NK,ATL,DFW,7,0,16,1083,0
6E,COK,GOI,6,5,5,540,0
B6,SEA,SFO,2,4,21,679,1
SG,MAA,GOI,6,0,21,818,1
B6,LAS,PHX,3,6,16,256,1
AI,BLR,DEL,6,3,20,1080,0
F9,ATL,PHX,11,2,8,1064,0
IX,MAA,GOI,6,1,21,1043,0
AI,MAA,HYD,2,5,13,320,0
UK,AMD,COK,11,5,15,1104,0
F9,ORD,MIA,3,2,20,730,1
WN,SEA,DFW,5,6,12,295,1
UK,CCU,DEL,10,0,12,810,1
B6,DEN,ORD,7,1,22,888,1
